real,,,x raw,y raw,x,y,x calib,y calib
x initial,0.96812,,57.401935,129.47059,57.401935,129.47059,7.97981690005905,1.87837628357348
x final,25,,0.436542,1.26478,57.838477,130.73537,8.04050344710987,1.89672587753099
y initial,0.76,,0.436542,1.26479,58.275019,132.00016,8.10118999416069,1.9150756165698
y final,0,,0.436542,1.26478,58.711561,133.26494,8.16187654121151,1.9334252105273
,,,0.436542,1.26479,59.148103,134.52973,8.22256308826233,1.95177494956611
,,,0.436542,0.38757,59.584645,134.9173,8.28324963531315,1.95739786590738
x diff real,24.03188,,0.436542,0.38757,60.021187,135.30487,8.34393618236397,1.96302078224864
x diff draw,172.870685000002,,0.436543,0.38756,60.45773,135.69243,8.40462286843131,1.9686435535086
x calib factor,0.139016513991367,,0.436542,0.38757,60.894272,136.08,8.46530941548213,1.97426646984987
,,,0.436542,-0.47048,61.330814,135.60952,8.52599596253295,1.96744068436534
y diff real,-0.76,,0.436542,-0.47048,61.767356,135.13904,8.58668250958377,1.96061489888081
y diff draw,-52.384418,,0.436542,-0.47048,62.203898,134.66856,8.64736905663459,1.95378911339628
y calib factor,0.014508131024764,,0.436542,-0.47048,62.64044,134.19808,8.70805560368541,1.94696332791175
,,,0.436542,-1.26079,63.076982,132.93729,8.76874215073623,1.92867162139703
,,,0.436543,-1.26079,63.513525,131.6765,8.82942883680356,1.91037991488232
,,,0.436542,-1.26079,63.950067,130.41571,8.89011538385438,1.89208820836761
,,,0.436542,-1.26079,64.386609,129.15492,8.9508019309052,1.8737965018529
,,,0.436542,-1.94101,64.823151,127.21391,9.01148847795602,1.84563607445252
,,,0.436542,-1.941,65.259693,125.27291,9.07217502500684,1.81747579213345
,,,0.436543,-1.94101,65.696236,123.3319,9.13286171107417,1.78931536473308
,,,0.436542,-1.94101,66.132778,121.39089,9.19354825812499,1.7611549373327
,,,0.436542,-2.47712,66.5693200000001,118.91377,9.25423480517581,1.72521655580864
,,,0.436542,-2.47712,67.0058620000001,116.43665,9.31492135222663,1.68927817428457
,,,0.436542,-2.47712,67.4424040000001,113.95953,9.37560789927745,1.65333979276051
,,,0.436542,-2.47712,67.8789460000001,111.48241,9.43629444632827,1.61740141123645
,,,0.436542,-2.84504,68.3154880000001,108.63737,9.49698099337909,1.57612519814575
,,,0.436542,-2.84504,68.7520300000001,105.79233,9.55766754042991,1.53484898505506
,,,0.436543,-2.84505,69.1885730000001,102.94728,9.61835422649724,1.49357262688306
,,,0.436542,-2.84504,69.6251150000001,100.10224,9.67904077354806,1.45229641379236
,,,0.436542,-3.031518,70.0616570000001,97.070722,9.73972732059888,1.40831475344443
,,,0.436542,-3.031519,70.4981990000001,94.0392030000001,9.8004138676497,1.36433307858837
,,,0.436542,-3.031518,70.9347410000001,91.007685,9.86110041470052,1.32035141824044
,,,0.436542,-3.031518,71.3712830000001,87.976167,9.92178696175134,1.27636975789251
,,,0.436542,-3.034387,71.8078250000001,84.94178,9.98247350880216,1.23234647371667
,,,0.436542,-3.034386,72.2443670000001,81.907394,10.043160055853,1.18832320404896
,,,0.436543,-3.034387,72.6809100000001,78.873007,10.1038467419203,1.14429991987312
,,,0.436542,-3.034387,73.1174520000001,75.8386200000001,10.1645332889711,1.10027663569728
,,,0.436542,-2.862171,73.5539940000001,72.976449,10.225219836022,1.058751883814
,,,0.436542,-2.862172,73.9905360000001,70.114277,10.2859063830728,1.01722711742259
,,,0.436542,-2.862171,74.4270780000001,67.252106,10.3465929301236,0.97570236553931
,,,0.436542,-2.862171,74.8636200000001,64.389935,10.4072794771744,0.93417761365603
,,,0.436542,-2.533087,75.3001620000001,61.856848,10.4679660242252,0.897427255562904
,,,0.436542,-2.533087,75.7367040000001,59.323761,10.5286525712761,0.860676897469778
,,,0.436543,-2.533088,76.1732470000001,56.790673,10.5893392573434,0.823926524868521
,,,0.436542,-2.533087,76.6097890000001,54.257586,10.6500258043942,0.787176166775395
,,,0.436542,-2.073532,77.0463310000001,52.184054,10.710712351445,0.757093092835354
,,,0.436542,-2.073533,77.4828730000001,50.110521,10.7713988984958,0.727010004387183
,,,0.436543,-2.073532,77.9194160000001,48.036989,10.8320855845632,0.696926930447142
,,,0.436542,-2.073533,78.3559580000001,45.963456,10.892772131614,0.66684384199897
,,,0.436542,-1.516178,78.7925000000001,44.447278,10.9534586786648,0.644846932918106
,,,0.436542,-1.516177,79.2290420000001,42.931101,11.0141452257156,0.622850038345372
,,,0.436542,-1.516178,79.6655840000001,41.4149230000001,11.0748317727665,0.600853129264508
,,,0.436542,-1.516178,80.1021260000001,39.898745,11.1355183198173,0.578856220183644
,,,0.436542,-0.897786,80.5386680000001,39.000959,11.1962048668681,0.565831023263445
,,,0.436542,-0.897786,80.9752100000001,38.1031730000001,11.2568914139189,0.552805826343246
,,,0.436543,-0.897787,81.4117530000001,37.2053860000001,11.3175780999863,0.539780614914917
,,,0.436542,-0.897786,81.8482950000001,36.3076,11.3782646470371,0.526755417994718
,,,0.436542,-0.2569,82.2848370000001,36.0507,11.4389511940879,0.523028279134456
,,,0.436542,-0.2569,82.7213790000002,35.7938,11.4996377411387,0.519301140274194
,,,0.436542,-0.2569,83.1579210000001,35.5369,11.5603242881895,0.515574001413932
,,,0.436542,-0.2569,83.5944630000001,35.28,11.6210108352404,0.511846862553671
,,,0.436542,0.368466,84.0310050000002,35.648466,11.6816973822912,0.517192615559841
,,,0.436542,0.368466,84.4675470000002,36.016932,11.742383929342,0.522538368566012
,,,0.436543,0.368466,84.9040900000002,36.385398,11.8030706154093,0.527884121572182
